Equipement,Désignation,Fabricant,Zone de tri,Poste technique,Désignation,Année constr.,Cat. véhicule,Date acquis.,Date mise serv.,Poste respons.,Type de propul.,Type pétrole,Statut util.,Fin de validité,Modex - Catégorie cy,PowerBI - Catégorie
10526,CHEVROLET ASTRO AWD,CHEVROLET,VÉHICULE EN REMISAGE (ENCAN),,,2002,V.FOURG,2001-10-01,2001-11-01,VI.MECAN,4R,ESSENCE,VEND,2002-03-31,Fourgonette,Fourgonette
10527,CHEVROLET ASTRO AWD,CHEVROLET,VENDU - ENCANS RITCHIES BROS.,,,2002,V.FOURG,2001-10-01,2001-11-01,VI.MECAN,4R,ESSENCE,VEND,2013-01-16,Fourgonette,Fourgonette
10528,CHEVROLET ASTRO AWD,CHEVROLET,VÉHICULE EN REMISAGE (ENCAN),,,2002,V.FOURG,2001-10-01,2001-11-01,VE.MECAN,4R,ESSENCE,VEND,2002-03-31,Fourgonette,Fourgonette
10529,CHEVROLET ASTRO AWD,CHEVROLET,,,,2002,V.FOURG,2001-10-01,2001-11-01,VI.LE.DH,4R,ESSENCE,VEND,2002-03-31,Fourgonette,Fourgonette
10530,CHEVROLET ASTRO AWD,CHEVROLET,VÉHICULE EN REMISAGE (ENCAN),,,2002,V.FOURG,2001-10-01,2001-11-01,VE.MECAN,4R,ESSENCE,VEND,2002-03-31,Fourgonette,Fourgonette
10531,INTERNATIONAL 4300 (URGENCE),INTERNATIONAL,CAMION INTERVENTION URGENCE,V-06-223,Tech. Acquisition / Exploitation 2,2002,V.CAMION L,2000-11-13,2002-04-15,VI.LO.DH,AR,DIESEL,SERV,,Camion unite d'intervention,Camion unite d'intervention
10532,INTERNATIONAL 4300 (URGENCE),INTERNATIONAL,CAMION INTERVENTION URGENCE,V-07-240,B.A. MTL Ouest (Lasalle),2002,V.CAMION L,2002-06-14,2002-06-17,VI.LO.DH,AR,DIESEL,SERV,,Camion unite d'intervention,Camion unite d'intervention
10533,INTERNATIONAL 4300 (URGENCE),INTERNATIONAL,CAMION INTERVENTION URGENCE,V-05-210,B.A. Montérégie (Brossard),2002,V.CAMION L,2000-11-13,2002-07-23,VI.LO.DH,AR,DIESEL,SERV,,Camion unite d'intervention,Camion unite d'intervention
10534,INTERNATIONAL 4300 (URGENCE),INTERNATIONAL,,V-28-320-003,Drummondville,2002,V.CAMION L,2000-11-13,2002-07-15,VE.ES,AR,DIESEL,SERV,,Camion unite d'intervention,Camion unite d'intervention
10535,INTERNATIONAL 4300 (URGENCE),INTERNATIONAL,CAMION INTERVENTION URGENCE,V-06-223,Tech. Acquisition / Exploitation 2,2002,V.CAMION L,2000-11-13,2002-07-15,VI.LO.DH,AR,DIESEL,SERV,,Camion unite d'intervention,Camion unite d'intervention
