,Entretien
170,REMPLACER - CHASSIS PIÈCE CARROSSERIE,RÉPARER - FILAGE ÉLECTRIQUE,RECHERCHER PANNE (diagnostic) - PNEU PNEU ROUE
171,RECHERCHER PANNE (diagnostic) - FILAGE ÉLECTRIQUE
172,RÉPARER - HUILE + FILTRE
173,RECHERCHER PANNE (diagnostic) - FLÈCHE SIGNALÉTIQUE
174,RÉPARER - MIROIR CHAUFFANT
175,RÉPARER - ESPAR
176,RECHERCHER PANNE (diagnostic) - FILAGE ÉLECTRIQUE
177,RÉPARER - ESPAR
178,REMPLACER - LUMIÈRE DE JOUR (Day running light),VÉRIFIER - PNEU PNEU ROUE
179,VÉRIFIER - CODE DÉFAUT MOTEUR (Fault code)
180,INSTALLER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
181,RÉPARER - FABRIQUE SYSTÈME ÉLECTRIQUE
182,RÉPARER - ESPAR
183,RÉPARER - BATTERIE
184,VÉRIFIER - COMPRESSEUR
185,RÉPARER - SYSTÈME ESSUIE-GLACE ET LAVE VITRE,VÉRIFIER - AIR DRYER
186,RÉPARER - COMPRESSEUR
187,REMPLACER - COMPRESSEUR
188,RÉPARER - FILAGE ÉLECTRIQUE
189,MODIFIER - COMPRESSEUR
190,MODIFIER - COMPRESSEUR
191,VÉRIFIER - CODE DÉFAUT TABLEAU DE BORD (Fault code)
192,RÉPARER - ESPAR
193,RÉPARER - FILAGE ÉLECTRIQUE
194,RÉPARER - LUMIÈRE DE JOUR (Day running light)
195,RÉPARER - TRANSMISSION ROULEMENT DE CENTRE (Bearing) BOÎTE DE TRANSFERT,REMPLACER - ESSUIE-GLACE
196,RÉPARER - GYROPHARE
197,RECHERCHER PANNE (diagnostic) - BATTERIE
198,REMPLACER - COURROIE,AJUSTER - RÉGLEUR (Slack ajuster)
199,RECHERCHER PANNE (diagnostic) - COMPRESSEUR
200,VÉRIFIER - COMPRESSEUR
201,RÉPARER - COMPRESSEUR
202,AJUSTER - RÉGLEUR (Slack ajuster),RECHERCHER PANNE (diagnostic) - FILAGE ÉLECTRIQUE,REMPLACER - ESSUIE-GLACE,RECHERCHER PANNE (diagnostic) - COMPRESSEUR
203,RÉPARER - COMPRESSEUR
204,RÉPARER - VENTILATEUR
205,REMPLACER - BOYAUX
206,REMPLACER - PNEU PNEU ROUE
207,RECHERCHER PANNE (diagnostic) - PNEU PNEU ROUE
208,RÉPARER - LUMIÈRE DE JOUR (Day running light),RÉPARER - LUMIÈRE DE JOUR (Day running light)
209,VÉRIFIER - COMPRESSEUR
210,RECHERCHER PANNE (diagnostic) - COMPRESSEUR
211,RECHERCHER PANNE (diagnostic) - COMPRESSEUR,RÉPARER - SYSTÈME D'ALARME
212,REMPLACER - AMORTISSEUR,AJUSTER - RÉGLEUR (Slack ajuster),RECHERCHER PANNE (diagnostic) - TUYAUX
213,REMPLACER - PNEU PNEU ROUE
214,RÉPARER - TUYAUX
215,RÉPARER - TRANSMISSION CONTRÔLE BOÎTE DE TRANSFERT
216,REMPLACER - TRANSMISSION TRANSMISSION AUTOMATIQUE BOÎTE DE TRANSFERT
217,INSTALLER - CHASSIS PIÈCE CARROSSERIE,INSTALLER - CHASSIS PIÈCE CARROSSERIE
218,AJUSTER - RÉGLEUR (Slack ajuster),NETTOYER / LAVER - BATTERIE
219,RECHERCHER PANNE (diagnostic) - ESPAR
220,VÉRIFIER - BOYAUX À AIR
